title,authors,year,journal,url,cited
Long‐term survival and colony growth of Acropora palmata fragments transplanted by volunteers for restoration,"GE Forrester, MA Ferguson… - Aquatic …, 2014",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/aqc.2374,51
Restoration of critically endangered elkhorn coral (Acropora palmata) populations using larvae reared from wild-caught gametes,"VF Chamberland, MJA Vermeij, M Brittsan… - Global Ecology and …, 2015",,Elsevier,https://www.sciencedirect.com/science/article/pii/S2351989415001018,129
Restoration of critically endangered elkhorn coral (Acropora palmata) using sexually produced recruits,"VF Chamberland, D Petersen… - Joint International …, 2012",,repository.si.edu,https://repository.si.edu/bitstreams/ced3e1ba-3390-4134-a4de-0f53041b44af/download#page=45,9
Synchronous spawning of nursery-raised elkhorn coral (Acropora palmata) outplanted to reefs in the Florida Keys (United States),"DE Williams, AJ Bright, OM Williamson… - Frontiers in Marine …, 2023",,frontiersin.org,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2023.1180996/full,5
Success of restoration strategies in preventing extirpation of 2 critically endangered coral species,"EM Muller, MC Ladd, R Karp… - Conservation …, 2025",,Wiley Online Library,https://conbio.onlinelibrary.wiley.com/doi/abs/10.1111/cobi.70168,1
Enhancing survival of ex-situ reared sexual recruits of Acropora palmata for reef rehabilitation,"M Schutter, R ter Hofstede, J Bloemberg, J Elzinga… - Ecological …, 2023",,Elsevier,https://www.sciencedirect.com/science/article/pii/S092585742300071X,6
"The culture, transplantation and storage of Montastraea faveolata, Acropora cervicornis and Acropora palmata: what we have learned so far","LC Becker, E Mueller - Bulletin of marine science, 2001",,ingentaconnect.com,https://www.ingentaconnect.com/contentone/umrsmas/bullmar/2001/00000069/00000002/art00050,65
Survivorship and growth in staghorn coral (Acropora cervicornis) outplanting projects in the Florida Keys National Marine Sanctuary,"M Ware, EN Garfield, K Nedimyer, J Levy, L Kaufman… - PLoS …, 2020",,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0231817,100
"Impacts of fragment genotype, habitat, and size on outplanted elkhorn coral success under thermal stress","RE Pausch, DE Williams, MW Miller - Marine Ecology Progress Series, 2018",,int-res.com,https://www.int-res.com/abstracts/meps/v592/p109-117,42
"Elevated Temperature Affects Development, Survivorship, and Settlement of the Elkhorn Coral, Acropora palmata (Lamarck 1816)","CJ Randall, AM Szmant - The Biological Bulletin, 2009",,journals.uchicago.edu,https://www.journals.uchicago.edu/doi/abs/10.1086/BBLv217n3p269,196
"Long-term survival, growth, and reproduction of Acropora palmata sexual recruits outplanted onto Mexican Caribbean reefs","SM Quiroz, AU Beltrán-Torres, MV Grosso-Becerra… - PeerJ, 2023",,peerj.com,https://peerj.com/articles/15813/,14
Reestablishing a stepping-stone population of the threatened elkhorn coral Acropora palmata to aid regional recovery,"IB Kuffner, A Stathakopoulos, LT Toth… - Endangered Species …, 2020",,int-res.com,https://www.int-res.com/abstracts/esr/v43/p461-473,36
The effect of pruning Acropora palmata as a strategy for obtaining living tissue for reef restoration actions,"C Padilla-Souza, E Navarro-Espinoza… - Revista de Biología …, 2023",,scielo.sa.cr,https://www.scielo.sa.cr/scielo.php?pid=S0034-77442023000200010&script=sci_arttext&tlng=en,4
Habitat suitability models of elkhorn coral provide ecological insight to support coral reef restoration,"B Yuen, CE Stuart, SJ Pittman, SJ Green… - Restoration …, 2023",,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.13953,18
The Elkhorn Coral Acropora palmata: A Pillar of Coral Reef Ecosystems,M Lujan,,aquahoy.com,https://aquahoy.com/elkhorn-coral-acropora-palmata-coral-reef-ecosystems/,0
Establishment of an Acropora cervicornis (Staghorn Coral) Nursery: an evaluation of survivorship and growth,EA Larson,2010,,https://nsuworks.nova.edu/occ_stuetd/213/,5
"Effects of Partial Mortality on Growth, Reproduction and Total Lipid Content in the Elkhorn Coral Acropora palmata","VM Piñón-González, AT Banaszak - Frontiers in Marine Science, 2018",,frontiersin.org,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2018.00396/full,9
Acropora cervicornis and Acropora palmata cultured on a low maintenance line nursery design in The Bahamas,"L Maurer, L Puishys, NKP Ho, C Dahlgren… - Plos one, 2022",,journals.plos.org,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0267034,10
Strategy to evaluate Acropora palmata outplant design,"MW Miller, DE Williams",2008,,https://www.ncei.noaa.gov/data/oceans/coris/library/NOAA/CRCP/project/1091/ApOutplantPlan_PRBD14_08.pdf,1
Evaluating Methods for Transplanting Endangered Elkhorn Corals in the Virgin Islands,"J Krumholz - Restoration Ecology, 2010",,academia.edu,https://www.academia.edu/download/50622440/Evaluating_Methods_for_Transplanting_End20161129-7800-1xhs7l.pdf,0
