title,first_author,year,publisher,doi,ppr_id,demographic_relevance,in_screening_list,screening_decision,notes
Climate change-related disturbances in 2024 drive the largest known population of elkhorn coral (Acropora palmata) in Barbados to the brink of extirpation,Valles,2026,Research Square,10.21203/rs.3.rs-8750412/v1,PPR1154951,POSSIBLE - population-level mortality from 2023 heatwave in Barbados,No,,NEW - 2026 Research Square preprint; Barbados A. palmata population; 2023 heatwave mortality
Mosaic accumulation of somatic genetic variation and estimates of age in the long-lived reef-building coral Acropora palmata,Conn,2025,bioRxiv,10.1101/2025.04.11.641527,PPR1008704,"NO - genetics/age estimation, no survival/growth data",No,,NEW - 2025 bioRxiv; somatic genetic variation and age estimates; no demographic rates
Assisted gene flow yields Acropora palmata corals with robust physiological performance under warmer water temperatures in a land-based nursery,Muller,2025,bioRxiv,10.1101/2025.03.03.641242,PPR989422,POSSIBLE - physiological performance in land-based nursery; may have survival/growth,No,,NEW - 2025 bioRxiv; assisted gene flow in land-based nursery; may have survival/growth data
Mortality and recovery rates of Acropora fragments on in-situ nurseries after the 2023 bleaching event in the Turks and Caicos Islands,DeBuysser,2025,Research Square,10.21203/rs.3.rs-7301952/v1,PPR1070651,"POSSIBLE - mortality/recovery of Acropora fragments (species not confirmed as A. palmata in title; may be A. cervicornis or mixed)",No,,NEW - 2025 Research Square preprint; Acropora fragment mortality in TCI nurseries post-2023 bleaching; VERIFY species is A. palmata before including
Studying the genomics of natural and restored populations of Acropora palmata is crucial for understanding their genetic diversity and the impact of conservation efforts,Alvarado-Ceron,2024,Research Square,10.21203/rs.3.rs-4596031/v1,PPR876904,"NO - genomics/genetic diversity, no demographic rates",No,,
Genet identity and season drive gene expression in outplanted Acropora palmata at different reef sites,Young,2024,Research Square,10.21203/rs.3.rs-4259333/v1,PPR852214,"NO - gene expression, no survival/growth data",No,,
Bio-optical signatures of in situ photosymbionts predict bleaching severity prior to thermal stress in Acropora palmata,Hoadley,2023,bioRxiv,10.1101/2023.07.06.547971,PPR688712,"NO - bleaching optics, no demographic rates",No,,
Long term maintenance of heterologous symbiont association in Acropora palmata on natural reefs,Elder,2022,bioRxiv,10.1101/2022.08.13.503876,PPR532087,"NO - symbiont genetics, no demographic rates",No,,
Genome assemblies and genetic maps highlight chromosome-scale macrosynteny in Atlantic acroporids,Locatelli,2023,bioRxiv,10.1101/2023.12.22.573044,PPR778568,"NO - genome assembly, no demographic data",No,,
Evolution of Mg transporters may explain biological effects on coral skeletal proxies in geochemistry,Bell,2023,Research Square,10.21203/rs.3.rs-3175154/v1,PPR698116,NO - geochemistry/skeletal proxies,No,,
Innate immune gene expression in Acropora palmata is consistent despite variance in yearly disease events,Young,2020,bioRxiv,10.1101/2020.01.20.912410,PPR109650,"NO - gene expression/disease, no demographic rates",No,,
Juvenile corals inherit mutations acquired during the parent's lifespan,Kuntz,2020,bioRxiv,10.1101/2020.10.19.345538,PPR227748,NO - somatic mutation inheritance,No,,
Chromosome-level genome assembly and annotation of Corallium rubrum,Ledoux,2024,bioRxiv,10.1101/2024.07.13.603384,PPR882435,"NO - wrong species (C. rubrum), only mentions A. palmata in passing",No,,Wrong species (Corallium rubrum)
Genotypic similarity among algal symbionts corresponds to associations with closely related coral hosts,Reich,2020,bioRxiv,10.1101/2020.09.26.314773,PPR219265,NO - symbiont genetics,No,,
Successful demonstration of assisted gene flow in the threatened coral Acropora palmata across genetically-isolated Caribbean populations using cryopreserved sperm,Hagedorn,2018,bioRxiv,10.1101/492447,PPR64381,"NO - assisted gene flow/cryopreservation, published as Hagedorn et al. 2021 PNAS",Yes (as Hagedorn et al. 2021 PNAS),"Not in screening (gene flow, not demography)",Preprint version of Hagedorn et al. 2021 PNAS
Genome-wide survey of single-nucleotide polymorphisms reveals fine-scale population structure in Acropora palmata,Durante,2017,PeerJ Preprints,10.7287/peerj.preprints.3043v1,PPR37258,"NO - population genetics, published as Devlin-Durante et al. 2017 PeerJ",Yes (as Devlin-Durante et al. 2017 PeerJ),Not in screening (population genetics),Preprint version of Devlin-Durante et al. 2017
A standard field protocol for testing relative disease resistance in Acropora palmata and Acropora cervicornis,Miller,2016,PeerJ Preprints,10.7287/peerj.preprints.2668v1,PPR37653,"NO - disease resistance protocol, no demographic rates",Yes (as published version),See published version in screening,"Matches screening entry containing ""williams & miller 2008"""
