title,authors,year,journal,doi,wos_id
"Patterns of damage to the branching coral Acropora palmata following Hurricane Andrew: Damage and survivorship of hurricane-generated asexual recruits","Lirman, D; Fong, P","1997","JOURNAL OF COASTAL RESEARCH","","WOS:A1997WL79900009"
"Culture of elkhorn coral Acropora palmata in a recirculating system using synthetic seawater","Hernández-Zárate, G; Lango-Reynoso, F; Maldonado-Hernández, JR","2011","REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA","","WOS:000301054900017"
"Predicted disappearance of coral-reef ramparts: a direct result of major ecological disturbances","Williams, EH Jr; Bartels, PJ; Bunkley-Williams, L","1999","GLOBAL CHANGE BIOLOGY","","WOS:000085051700001"
"Long-term survival and colony growth of Acropora palmata fragments transplanted by volunteers for restoration","Forrester, GE; Ferguson, MA; Jarecki, LL","2014","AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS","","WOS:000330802700009"
"Impacts of fragment genotype, habitat, and size on outplanted elkhorn coral success under thermal stress","Pausch, RE; Williams, DE; Miller, MW","2018","MARINE ECOLOGY PROGRESS SERIES","","WOS:000428818700007"
"Evaluating Methods for Transplanting Endangered Elkhorn Corals in the Virgin Islands","Forrester, GE; O'Connell-Rodwell, C; Jarecki, L","2011","RESTORATION ECOLOGY","","WOS:000289893200002"
"Heat-tolerant algal symbionts may prevent extirpation of the threatened elkhorn coral, Acropora palmata, in Florida during intensifying marine heatwaves","Karp, RF; Lepiz-Conejo, F; Baker, AC","2025","CORAL REEFS","","WOS:001472586900001"
"Bringing Back Reef Fish: Sustainable Impacts of Community-Based Restoration of Elkhorn Coral (Acropora palmata) in Vega Baja, Puerto Rico (2008-2023)","Hernández-Delgado, EA; Laureano, R","2024","SUSTAINABILITY","","WOS:001278491300001"
"Population trajectory and stressors of Acropora palmata sites in the Florida Keys","Neely, KL; Macaulay, KA; Lunz, KS","2022","FRONTIERS IN MARINE SCIENCE","","WOS:000876997000001"
"Potential inhibitors to recovery of Acropora palmata populations in St. John, US Virgin Islands","Grober-Dunsmore, R; Bonito, V; Frazer, TK","2006","MARINE ECOLOGY PROGRESS SERIES","","WOS:000241282700011"
"Twenty-year record of white pox disease in the Florida Keys: importance of environmental risk factors as drivers of coral health","Sutherland, KP; Griffin, A; Wares, JP","2023","DISEASES OF AQUATIC ORGANISMS","","WOS:001057811800002"
"2023 global heatwave causes mass mortality of a keystone coral on shallow Western Atlantic reefs","Birkart, LV; Alvarez-Filip, L","2025","ISCIENCE","","WOS:001607289300005"
"Effects of Partial Mortality on Growth, Reproduction and Total Lipid Content in the Elkhorn Coral Acropora palmata","Piñón-González, VM; Banaszak, AT","2018","FRONTIERS IN MARINE SCIENCE","","WOS:001046468200001"
"Thermal stress exposure, bleaching response, and mortality in the threatened coral &ITAcropora palmata&IT","Williams, DE; Miller, MW; Valdivia, A","2017","MARINE POLLUTION BULLETIN","","WOS:000415391200034"
"Genetic differences of Acropora palmata populations of the Mexican Atlantic","Domínguez-Maldonado, R; Villegas-Sánchez, CA; Rosado-Nic, OD","2022","LATIN AMERICAN JOURNAL OF AQUATIC RESEARCH","","WOS:000800013400015"
"Restoration of critically endangered elkhorn coral (Acropora palmata) populations using larvae reared from wild-caught gametes","Chamberland, VF; Vermeij, MJA; Petersen, D","2015","GLOBAL ECOLOGY AND CONSERVATION","","WOS:000416220800049"
"Condition of restored Acropora palmata fragments off Mona Island, Puerto Rico, 2 years after the Fortuna Reefer ship grounding","Bruckner, AW; Bruckner, RJ","2001","CORAL REEFS","","WOS:000172560800007"
"Differential Effects of Substrate Type and Genet on Growth of Microfragments of Acropora palmata","Papke, E; Wallace, B; Nowicki, R","2021","FRONTIERS IN MARINE SCIENCE","","WOS:000644402000001"
"Human Pathogen Shown to Cause Disease in the Threatened Eklhorn Coral Acropora palmata","Sutherland, KP; Shaban, S; Lipp, EK","2011","PLOS ONE","","WOS:000294121300049"
"Reestablishing a stepping-stone population of the threatened elkhorn coral Acropora palmata to aid regional recovery","Kuffner, IB; Stathakopoulos, A; Bartlett, LA","2020","ENDANGERED SPECIES RESEARCH","","WOS:000619516900035"
"Genet identity and season drive gene expression in outplanted Acropora palmata at different reef sites","Young, BD; Williams, DE; Rosales, SM","2024","SCIENTIFIC REPORTS","","WOS:001366866100002"
"Shifting white pox aetiologies affecting Acropora palmata in the Florida Keys, 1994-2014","Sutherland, KP; Berry, B; Porter, JW","2016","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","","WOS:000371148300003"
"Elevated Temperature Affects Development, Survivorship, and Settlement of the Elkhorn Coral, Acropora palmata (Lamarck 1816)","Randall, CJ; Szmant, AM","2009","BIOLOGICAL BULLETIN","","WOS:000273409200007"
"Population status of Acropora palmata (Lamarck, 1816) in Cuban coral reefs","Caballero-Aragón, H; Perera-Valderrama, S; Armenteros, M","2020","REGIONAL STUDIES IN MARINE SCIENCE","","WOS:000519571000040"
"Bleaching, disease and recovery in the threatened scleractinian coral Acropora palmata in St. John, US Virgin Islands: 2003-2010","Rogers, CS; Muller, EM","2012","CORAL REEFS","","WOS:000307287400022"
"Storm-mediated coral colonization by an excavating Caribbean sponge","López-Victoria, M; Zea, S","2004","CLIMATE RESEARCH","","WOS:000223393700007"
