title,authors,year,journal,doi,wos_id
"Assisted gene flow using cryopreserved sperm in critically endangered coral","Hagedorn, M; Page, CA; Marhaver, KL","2021","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA","","WOS:000702151600003"
"Restoration of critically endangered elkhorn coral (Acropora palmata) populations using larvae reared from wild-caught gametes","Chamberland, VF; Vermeij, MJA; Petersen, D","2015","GLOBAL ECOLOGY AND CONSERVATION","","WOS:000416220800049"
"Success of restoration strategies in preventing extirpation of 2 critically endangered coral species","Muller, EM; Ladd, MC; Miller, MW","2025","CONSERVATION BIOLOGY","","WOS:001621106100001"
"Effects of herbivory by the urchin Diadema antillarum on early restoration success of the coral Acropora cervicornis in the central Caribbean","Cano, I; Sellares-Blasco, R; Croquer, A","2021","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:000645098600003"
"Hybridization and inbreeding affect the survival of a critically endangered coral","Hernández-Agreda, A; Huckeba, J; Bongaerts, P","2024","CURRENT BIOLOGY","","WOS:001351179400001"
"Genomes of the Caribbean reef-building corals Colpophyllia natans, Dendrogyra cylindrus, and Siderastrea siderea","Locatelli, NS; Baums, IB","2025","G3-GENES GENOMES GENETICS","","WOS:001433194800001"
"Threatened Caribbean Coral Is Able to Mitigate the Adverse Effects of Ocean Acidification on Calcification by Increasing Feeding Rate","Towle, EK; Enochs, IC; Langdon, C","2015","PLOS ONE","","WOS:000353015800096"
"Environmental predictors for the restoration of a critically endangered coral, Acropora palmata, along the Florida reef tract","Banister, RB; Viehman, TS; van Woesik, R","2024","PLOS ONE","","WOS:001136266700132"
"Spatial distribution of microbial communities among colonies and genotypes in nursery-reared Acropora cervicornis","Miller, N; Maneval, P; Meyer, JL","2020","PEERJ","","WOS:000562625500001"
"Extirpation of Acropora cervicornis genotypes from a coral nursery during the 2023 marine heatwave undermines conservation efforts","Le Gall, L; Johnson, JV; Goodbody-Gringley, G","2025","FRONTIERS IN MARINE SCIENCE","","WOS:001574960300001"
"Early development of the threatened coral Acropora cervicornis","Rada-Osorio, D; Gómez-Lemos, LA; García-Urueña, R","2022","HYDROBIOLOGIA","","WOS:000791671000001"
"Location-Specific Metrics for Rapidly Estimating the Abundance and Condition of the Threatened Coral Acropora cervicornis","Huntington, BE; Miller, MW","2014","RESTORATION ECOLOGY","","WOS:000336842500007"
"Predicting nest survival in sea turtles: when and where are eggs most vulnerable to predation?","Leighton, PA; Horrocks, JA; Kramer, DL","2011","ANIMAL CONSERVATION","","WOS:000288450700013"
"White Band Disease (type I) of Endangered Caribbean Acroporid Corals is Caused by Pathogenic Bacteria","Kline, DI; Vollmer, SV","2011","SCIENTIFIC REPORTS","","WOS:000296046200007"
"Bleaching causes loss of disease resistance within the threatened coral species Acropora cervicornis","Muller, EM; Bartels, E; Baums, IB","2018","ELIFE","","WOS:000444233200001"
"Assessing and genotyping threatened staghorn coral Acropora cervicornis nurseries during restoration in southeast Dominican Republic","Calle-Triviño, J; Rivera-Madrid, R; Arias-González, JE","2020","PEERJ","","WOS:000526522100004"
