Parameter,Sub_Category,Value,Unit,Region,Study,Context,analysis_include,relevance_class,scope_note
maturity_threshold,size_live_cm2,4000,cm2,Caribbean-wide,Vardi 2011,90% probability of gamete production (SC5),TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
fecundity_reduction,partial_mortality,20,percent,Mexico,Pinon-Gonzalez 2018,Reduction in egg volume for colonies with lesions,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
fecundity_gonadal_index,oocyte_density,63.6,oocytes/cm2,Mexico,Mendoza-Quiroz 2023,Observed in 8yr old restoration outplants,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
fecundity_oocyte_count,per_polyp,5.61,oocytes,Mexico,Mendoza-Quiroz 2023,Mean oocytes per polyp in mature colonies,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
calcification_rate,skeletal_accretion,7.9,mg/cm2/day,Florida (DRTO),Kuffner 2020,Optimal growth site in Dry Tortugas,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
calcification_rate,skeletal_accretion,4.2,mg/cm2/day,Florida (Upper Keys),Kuffner 2020,Slower growth at nearshore sites,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
carbon_fixation,gross_fixation,84,mg_C/cm2/day,Florida,Lirman 2000a,Lower bound of wild colony metabolic rate,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
carbon_fixation,gross_fixation,109,mg_C/cm2/day,Florida,Lirman 2000a,Upper bound of wild colony metabolic rate,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
settlement_success,thermal_baseline,62,percent,Puerto Rico,Randall 2009,At optimal 28C temperature,TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
settlement_success,thermal_stress,37,percent,Puerto Rico,Randall 2009,At 31.5C heat stress (40% reduction),TRUE,direct_apal,Direct Caribbean A. palmata life-history evidence retained for analysis.
